class,image,width,height,channels,aspect_ratio,resolution,brightness,contrast,black_ratio,masked_brightness,masked_contrast,blur_score
no_dr,aptos_002c21358ce6.png,1050,1050,3,1.0,1050x1050,85.49923628117914,46.504283823420025,0.20970249433106575,107.86856696235408,18.703930588050177,42.16775472071081
no_dr,aptos_005b95c28852.png,2048,1536,3,1.3333333333333333,2048x1536,22.645921389261883,26.404921217074147,0.526060422261556,47.74971711433142,16.523037916213564,27.614818572998047
no_dr,aptos_0097f532ac9f.png,2588,1958,3,1.3217568947906027,2588x1958,49.54123139247221,16.814747043410584,0.015319388771622937,50.15830065920112,16.19496542128945,12.599714363143413
no_dr,aptos_00cc2b75cddd.png,1050,1050,3,1.0,1050x1050,77.16966530612245,41.75042671267805,0.20901315192743763,97.14779551477359,17.132995859431226,38.565751935129896
no_dr,aptos_00f6c1be5a33.png,1050,1050,3,1.0,1050x1050,76.71665578231293,41.44527601866008,0.20914013605442178,96.74903288478455,15.895394920060818,45.41359305725577
no_dr,aptos_0125fbd2e791.png,1050,1050,3,1.0,1050x1050,80.9758439909297,43.904398518041326,0.20951836734693877,102.2092791099545,16.91570858593996,45.09918629326339
no_dr,aptos_014508ccb9cb.png,819,614,3,1.3338762214983713,819x614,46.20689607171692,33.23572730767682,0.20368646915878186,57.993569557410744,26.55159350664859,16.59115935399807
no_dr,aptos_0151781fe50b.png,2048,1536,3,1.3333333333333333,2048x1536,56.55101076761881,60.265853580752996,0.5250256856282552,119.02993360729249,14.542151810282533,19.509639104207356
no_dr,aptos_0182152c50de.png,1050,1050,3,1.0,1050x1050,82.89287891156462,42.93461440067377,0.20756190476190475,104.04956945641511,12.999678947035385,39.68709776382967
no_dr,aptos_01d9477b1171.png,819,614,3,1.3338762214983713,819x614,43.28973921482065,47.9306141364222,0.5244418990347329,90.95797894138211,22.31430362269459,38.332645277270686
no_dr,aptos_01f7bb8be950.png,2588,1958,3,1.3217568947906027,2588x1958,51.603607164677705,24.930520265739478,0.0945469227818185,56.317083627021105,21.244572141855752,13.091150440963029
no_dr,aptos_0212dd31f623.png,1050,1050,3,1.0,1050x1050,73.73799365079365,39.93664272934781,0.20924625850340137,92.99259009458527,15.644556827058114,47.525164591020406
no_dr,aptos_022f820027b8.png,2048,1536,3,1.3333333333333333,2048x1536,52.25417963663737,56.060211897734725,0.524725596110026,109.9131754469983,16.630447261095185,22.01291783650716
no_dr,aptos_0231642cf1c2.png,2588,1958,3,1.3217568947906027,2588x1958,52.68193323313541,22.049927357259637,0.09371511951917627,57.512911817100395,16.951684205238994,13.458687498912015
